0	0
1	0
2	0.94
3	0.94
4	0.95
5	0.925
6	0.925
7	0.94
8	0.93
9	0.925
10	0.925
11	0.925
12	0.925
13	0.925
14	0.925
15	0.925
16	0.925
17	0.925
18	0.925
19	0.915
20	0.915
21	0.915
22	0.915
23	0.925
24	0.915
25	0.915
26	0.915
27	0.925
28	0.925
29	0.925
30	0.925
31	0.925
32	0.925
33	0.92
34	0.92
35	0.92
36	0.925
37	0.92
38	0.92
39	0.92
40	0.92
41	0.92
42	0.92
43	0.92
44	0.92
45	0.92
46	0.92
47	0.915
48	0.915
49	0.92
50	0.92
51	0.92
52	0.92
53	0.915
54	0.91
55	0.925
56	0.92
57	0.925
58	0.945
59	0.945
60	0.935
61	0.935
62	0.935
63	0.935
64	0.935
65	0.935
66	0.935
67	0.935
68	0.935
69	0.925
70	0.935
71	0.935
72	0.925
73	0.915
74	0.915
75	0.915
76	0.935
77	0.915
78	0.925
79	0.915
80	0.915
81	0.915
82	0.925
83	0.915
84	0.935
85	0.915
86	0.935
87	0.915
88	0.915
89	0.935
90	0.935
91	0.935
92	0.935
93	0.935
94	0.935
95	0.915
96	0.915
97	0.915
98	0.935
99	0.935
100	0.915
101	0.935
102	0.935
103	0.935
104	0.915
105	0.915
106	0.915
107	0.915
108	0.915
109	0.915
110	0.915
111	0.915
112	0.915
113	0.915
114	0.915
115	0.915
116	0.915
117	0.915
118	0.915
119	0.915
120	0.915
121	0.91
122	0.915
123	0.91
124	0.915
125	0.915
126	0.91
127	0.91
128	0.91
129	0.91
130	0.915
131	0.91
132	0.91
133	0.91
134	0.91
135	0.915
136	0.91
137	0.91
138	0.91
139	0.91
140	0.91
141	0.91
142	0.91
143	0.91
144	0.91
145	0.91
146	0.91
147	0.91
148	0.91
149	0.91
150	0.91
151	0.91
152	0.91
153	0.91
154	0.91
155	0.91
156	0.91
157	0.91
158	0.91
159	0.91
160	0.91
161	0.91
162	0.91
163	0.91
164	0.91
165	0.91
166	0.91
167	0.91
168	0.91
169	0.91
170	0.91
171	0.91
172	0.91
173	0.92
174	0.94
175	0.91
176	0.91
177	0.915
178	0.915
179	0.91
180	0.915
181	0.92
182	0.915
183	0.915
184	0.915
185	0.92
186	0.91
187	0.92
188	0.94
189	0.915
190	0.915
191	0.915
192	0.945
193	0.935
194	0.915
195	0.915
196	0.915
197	0.915
198	0.915
199	0.945
200	0.945
